To(C),eta(Pa.s),TB(C),DeltaT,lambda,S,D/C,C(mm),2h0/C,h0_mm
105.0,0.0085,92.5,31.25,15.434966216216216,0.09880457929997892,1173.1537279094935,0.0954691591864767,0.4191422674758678,0.02000757992771721
107.0,0.008199999999999999,93.5,33.75,16.669763513513512,0.11907419584798729,1311.2266082175759,0.0854162044135513,0.4736999693211168,0.020230826705112746
109.0,0.0079,94.5,36.25,17.90456081081081,0.14108709314823642,1454.1390871068866,0.07702151808795127,0.5275529674899561,0.02031646521394001
112.0,0.0074,96.0,40.0,19.756756756756758,0.17714152428717747,1683.5273649676262,0.06652698514476106,0.6044909571264104,0.02010748046244555
116.0,0.006900000000000001,98.0,45.0,22.22635135135135,0.23031903255856945,1987.9992657003945,0.056338048978373814,0.6952418524522749,0.019584284767635803
127.0,0.0058,103.5,58.75,29.017736486486488,0.40003323625062936,2857.65563343857,0.039192965971631875,0.8558234346990474,0.016771129376942442
